date,risk,growth,inflation,rates,liquidity,dollar,oil
2014-10-31,58.55182922966571,130.50657219635707,103.70340373371704,0.5,11593.1,19.289398193359375,245.0399932861328
2014-11-30,58.60210301446404,127.45782281906835,102.54698130161708,0.47,11634.2,19.606849670410156,204.63999938964844
2014-12-31,57.146471313223344,128.6338779616891,101.33774801467501,0.67,11717.6,20.024551391601562,162.8800048828125
2015-01-31,54.068092674257954,125.27853141118084,100.29773034178173,0.47,11805.2,20.99361801147461,142.55999755859375
2015-02-28,58.49217683980715,126.73020114876634,101.51450923314837,0.63,11922.8,21.052095413208008,144.8000030517578
2015-03-31,57.14829073955735,125.950294574749,100.16785265405171,0.56,11920.5,21.63687515258789,134.72000122070312
2015-04-30,59.1605094708866,126.5952003658732,101.48931824865753,0.58,11954.6,20.809825897216797,164.0800018310547
2015-05-31,59.40781104175996,125.91154421532104,100.88872915549902,0.61,11982.6,21.269298553466797,162.47999572753906
2015-06-30,58.83561746650245,124.85935583070878,101.51049857433175,0.64,12023.2,20.910078048706055,159.0399932861328
2015-07-31,58.43333261835187,118.48322693972413,100.52772933905136,0.67,12067.0,21.244237899780273,124.72000122070312
2015-08-31,54.41287442123127,119.18776116354887,99.49424769915262,0.74,12112.0,20.935138702392578,127.12000274658203
2015-09-30,51.725756834221166,116.10812865513964,97.43511493149147,0.64,12173.9,20.968557357788086,117.44000244140625
2015-10-31,56.043191262424024,119.49030234118545,98.35398777684888,0.75,12225.2,21.0938663482666,118.4800033569336
2015-11-30,55.98342235400432,121.64697510147064,98.63399899342423,0.94,12317.0,21.78724479675293,103.44000244140625
2015-12-31,55.05395949557765,115.15779155432959,98.08128214503752,1.06,12387.9,21.428022384643555,88.0
2016-01-31,50.45266536718685,108.01955369987884,96.40559296816451,0.76,12518.5,21.603458404541016,77.19999694824219
2016-02-29,49.09321260973819,112.2682391146636,96.15374785808864,0.78,12603.9,21.294361114501953,72.0
2016-03-31,52.75833840604961,114.66407893076742,97.82146915025928,0.73,12661.8,20.500730514526367,77.5999984741211
2016-04-30,53.54778871097469,117.77737980650781,98.17954778940795,0.77,12743.2,20.13315200805664,90.4000015258789
2016-05-31,53.78022910479423,116.47233963523641,97.64405167786494,0.87,12802.0,20.7513484954834,94.95999908447266
2016-06-30,52.14354738817829,111.33695374341389,96.84960868715945,0.58,12852.5,20.7513484954834,92.55999755859375
2016-07-31,53.97640808334791,116.32137310871633,97.22852954065534,0.67,12911.9,20.609333038330078,78.08000183105469
2016-08-31,54.71480772734236,118.11465154795745,97.88541295205454,0.8,12989.7,20.734642028808594,82.87999725341797
2016-09-30,55.09798148271469,120.19205043112277,98.38669663438138,0.77,13054.9,20.617687225341797,87.44000244140625
2016-10-31,54.864545667018035,118.69786369019451,99.3394025664977,0.86,13122.8,21.235883712768555,84.23999786376953
2016-11-30,57.8790941699775,135.17000500909572,101.57543299232924,1.11,13208.7,21.92926597595215,87.44000244140625
2016-12-31,59.084834394934354,131.63905594255542,101.6545975212582,1.2,13234.9,22.104698181152344,93.76000213623047
2017-01-31,60.669220085437374,131.8494753018318,102.33726165604838,1.19,13315.7,21.494855880737305,90.55999755859375
2017-02-28,61.746909689158315,130.76741425505475,102.02032340410312,1.22,13394.8,21.81230926513672,91.5999984741211
2017-03-31,62.527498946677774,130.31710197620473,101.93823797327582,1.27,13463.6,21.678647994995117,85.12000274658203
2017-04-30,62.838896910553245,131.43611938075824,101.27381438048349,1.28,13521.7,21.361194610595703,81.91999816894531
2017-05-31,63.70041719120468,130.32574301887573,100.40310809857473,1.28,13568.9,20.951847076416016,79.68000030517578
2017-06-30,64.53061841802645,135.131896495773,100.04235118486865,1.38,13580.5,20.676164627075195,76.0
2017-07-31,66.04686552921522,134.59773847468762,100.12869407500904,1.34,13643.1,20.108089447021484,82.23999786376953
2017-08-31,65.3592586531522,136.3973613782076,99.71419393052844,1.33,13697.7,20.074674606323242,77.04000091552734
2017-09-30,67.56203404205351,143.12815763818102,100.46235648225385,1.47,13745.1,20.19998550415039,83.44000244140625
2017-10-31,69.14562293262898,146.61385329852786,100.89017632773358,1.6,13800.1,20.534147262573242,87.44000244140625
2017-11-30,70.73987393771726,144.65677301859267,101.2600056183649,1.78,13843.5,20.208341598510742,91.76000213623047
2017-12-31,71.63346325672262,144.45232937510187,102.01871322774531,1.89,13881.7,20.09359359741211,96.08000183105469
2018-01-31,77.38130733877908,149.75471412015904,103.37401773211258,2.14,13900.3,19.441368103027344,103.83999633789062
2018-02-28,74.61446294734188,155.85698530014608,103.26874735968505,2.25,13949.3,19.80929183959961,98.95999908447266
2018-03-31,72.65738566376211,153.05519485512434,103.11959346636735,2.27,14012.7,19.742395401000977,104.72000122070312
2018-04-30,73.89453395043434,155.2199324156657,104.31579466057566,2.49,14035.9,20.177209854125977,110.4000015258789
2018-05-31,73.51855511257574,162.53640248214057,103.63721888699483,2.4,14092.4,20.704011917114258,108.4000015258789
2018-06-30,72.94421061748885,150.16692400099896,104.10259386791554,2.52,14137.2,20.854524612426758,120.4800033569336
2018-07-31,75.57899888258105,155.11615357267638,104.09732627865706,2.67,14174.6,20.887971878051758,114.23999786376953
2018-08-31,75.34092113199094,154.87203456543523,103.71684399200416,2.62,14223.2,21.06357192993164,117.68000030517578
2018-09-30,76.72479740316915,156.69722444448115,103.9631013824084,2.81,14245.5,21.122102737426758,124.16000366210938
2018-10-31,71.23747918985839,136.92634254807092,102.69489177636949,2.87,14256.6,21.590370178222656,110.31999969482422
2018-11-30,71.41718541849903,138.98038746261238,101.8324577543637,2.8,14282.8,21.67399024963379,85.83999633789062
2018-12-31,64.46026735642381,136.31864752988707,99.58102133674726,2.48,14386.8,21.509845733642578,77.27999877929688
2019-01-31,69.19287498538891,144.46999825492742,100.34475234751439,2.45,14459.7,21.459131240844727,90.80000305175781
2019-02-28,71.27430006770099,150.9826340842773,100.70231288789019,2.52,14506.3,21.670429229736328,95.5999984741211
2019-03-31,70.52559743689014,143.75156920675897,100.03522190222353,2.27,14557.5,22.000051498413086,100.0
2019-04-30,73.32018880997231,145.31720839251957,100.77897196735637,2.27,14594.7,22.11837387084961,106.31999969482422
2019-05-31,66.8316443106368,139.2832754406257,99.51113803805936,1.95,14704.4,22.24515151977539,88.80000305175781
2019-06-30,70.31348685019624,142.8585455825148,99.05121012221223,1.75,14802.8,21.949337005615234,96.31999969482422
2019-07-31,70.33433157781495,140.31058915996627,99.32543755765936,1.89,14886.8,22.591676712036133,96.31999969482422
2019-08-31,66.16538818743814,133.6943860018682,97.77687707936718,1.5,14974.4,22.71000099182129,91.68000030517578
2019-09-30,68.46344211804542,135.3500866078964,97.85575177395768,1.63,15047.0,22.904394149780273,90.72000122070312
2019-10-31,70.20674891644836,137.46632694310185,97.64365368732992,1.52,15184.1,22.473350524902344,90.4000015258789
2019-11-30,72.34394945794594,141.70096416245394,98.60738891735926,1.61,15296.0,22.743806838989258,92.95999908447266
2019-12-31,75.53497029103603,138.08438330274043,99.87612861713716,1.58,15347.5,22.388757705688477,102.4800033569336
2020-01-31,71.95461118278236,137.0389834652061,98.59253467573836,1.33,15427.1,22.6560115814209,86.72000122070312
2020-02-29,64.65087583946796,134.52242567080546,96.63975038067795,0.86,15493.4,22.87153434753418,75.5999984741211
2020-03-31,53.9720113689212,115.87675660816869,91.53339529341848,0.23,16033.0,23.130165100097656,33.68000030517578
2020-04-30,59.11419981915863,117.88548985867837,94.04674543413397,0.2,17065.3,23.09568214416504,19.1200008392334
2020-05-31,61.92221827195629,122.20320793594428,94.35018113287676,0.16,17932.9,22.931882858276367,25.8799991607666
2020-06-30,63.71587114273586,124.89457093476982,95.23906485255428,0.16,18184.3,22.690494537353516,28.059999465942383
2020-07-31,66.56131511875029,121.95905878332837,96.6282589763633,0.11,18335.4,21.793909072875977,29.06999969482422
2020-08-31,71.26311349117337,126.48667676232004,98.44286075982096,0.14,18411.2,21.466312408447266,30.579999923706055
2020-09-30,68.93429410726512,127.7635739168388,97.75029452887904,0.13,18602.5,21.854257583618164,28.290000915527344
2020-10-31,68.34265798996583,129.64265614313112,98.44840023481149,0.14,18757.6,21.871498107910156,25.25
2020-11-30,76.12283204675475,139.96733138991914,99.30093340808187,0.16,18997.0,21.397342681884766,30.969999313354492
2020-12-31,79.88139931327645,139.08031230740713,100.63079214915784,0.13,19115.7,20.897323608398438,33.0099983215332
2021-01-31,80.51419478509527,140.12353031721497,102.01295755792547,0.11,19379.0,21.052501678466797,35.18000030517578
2021-02-28,84.35047493034223,151.64618912623564,102.71893862006392,0.14,19641.8,21.13871192932129,41.310001373291016
2021-03-31,88.87794763346427,152.32921200240042,104.95333660015122,0.16,19873.2,21.655975341796875,40.529998779296875
2021-04-30,91.73319105724872,154.8350854074371,105.39862721139491,0.16,20175.4,21.190439224243164,43.27000045776367
2021-05-31,92.6896099160831,156.90708030429218,106.02728530413378,0.14,20459.0,20.880083084106445,45.41999816894531
2021-06-30,92.90829366241067,154.1697528873309,105.71470067332255,0.25,20477.1,21.405963897705078,49.880001068115234
2021-07-31,91.92348877034088,152.26383603808728,106.42530117029041,0.19,20633.3,21.354238510131836,50.65999984741211
2021-08-31,94.2939384006616,152.3600074067227,106.67137339025643,0.2,20840.7,21.45768928527832,48.040000915527344
2021-09-30,91.77384367985863,149.2755654725944,107.55695344431957,0.28,20981.0,21.819772720336914,52.560001373291016
2021-10-31,97.15475097520108,154.0291609097376,109.23419968288563,0.48,21160.7,21.768047332763672,57.150001525878906
2021-11-30,93.88757831083282,150.5742962981617,108.98885586913008,0.52,21335.9,22.15599250793457,47.90999984741211
2021-12-31,98.05162186325958,143.6803820924173,110.00448774949074,0.73,21498.8,22.095643997192383,54.36000061035156
2022-01-31,95.61342117484993,138.848504082074,110.06544716338666,1.18,21650.0,22.30255126953125,62.47999954223633
2022-02-28,92.97006542758639,139.64379484995294,111.34584197742717,1.44,21724.8,22.311168670654297,67.4800033569336
2022-03-31,98.78637187740306,141.91450653739756,113.88215888878689,2.28,21786.8,22.673254013061523,74.12000274658203
2022-04-30,94.82604825428989,128.15513157935052,116.31415083437517,2.7,21769.5,23.768117904663086,77.16000366210938
2022-05-31,94.66449114777315,132.99246070579548,114.45224016591835,2.53,21719.5,23.457761764526367,85.47000122070312
2022-06-30,87.74777762276135,126.15612316793175,111.85231108998364,2.92,21651.2,24.104339599609375,80.3499984741211
2022-07-31,91.24819553799018,133.8608489092271,113.31712526601014,2.89,21652.8,24.38883399963379,78.05000305175781
2022-08-31,90.76373064834186,132.52298710046506,114.6720097366467,3.45,21638.2,25.09575653076172,73.11000061035156
2022-09-30,86.32419385009425,129.2078708517905,112.26772378663827,4.22,21536.5,25.992338180541992,65.27999877929688
2022-10-31,93.15790938629756,135.00150938971706,115.54240413366327,4.51,21461.5,25.88888931274414,71.52999877929688
