as_of,return_date,ticker,core_component,long_only_component,tsmom_component,raw_weight,target_weight,inner_core_scale,inner_long_only_scale,outer_weight_core,outer_weight_long_only,outer_weight_tsmom,outer_scale,raw_gross_exposure,raw_net_exposure,gross_exposure,net_exposure,long_gross_exposure,short_gross_exposure,cash_weight,unencumbered_cash_weight,borrow_weight,margin_debit_weight,short_collateral_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2011-01-31,2011-02-28,QQQ,0.021584526469123975,0.02100940447844701,0.028965871505219405,0.0715598024527904,0.0715598024527904,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,SHY,0.02051115514074798,0.013880173587741369,0.0,0.03439132872848935,0.03439132872848935,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,SMH,0.01349075307730811,0.012380931075575623,0.0,0.025871684152883732,0.025871684152883732,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,SPY,0.030728608981066906,0.02763099684417636,0.033499957434138375,0.09185956325938163,0.09185956325938163,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,TIP,0.06741679526395312,0.0493715899264376,0.0,0.11678838519039073,0.11678838519039073,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,TLT,0.00695795554432563,0.0,0.04066894163670215,0.04762689718102778,0.04762689718102778,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,USMV,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,UUP,0.006397780133533811,0.0,-0.06145292140523671,-0.0550551412717029,-0.0550551412717029,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,VLUE,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,XHB,0.00902808969625204,0.008620153666832562,0.0,0.0176482433630846,0.0176482433630846,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,XLB,0.028127923657800542,0.027899946483762202,0.0,0.05602787014156274,0.05602787014156274,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
