as_of,return_date,gross_return,net_return,nav_usd,turnover,traded_notional_usd,commission_usd,commission_cost,regulatory_fees_usd,regulatory_fee_cost,slippage_usd,slippage_cost,positive_cash_interest,short_proceeds_interest,margin_benchmark_cost,margin_spread_cost,short_borrow_cost,futures_roll_cost,total_explicit_cost,cash_weight,unencumbered_cash_weight,margin_debit_weight,short_collateral_weight,long_gross_exposure,gross_exposure,net_exposure,short_gross_exposure,borrow_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2015-04-30,2015-05-31,0.013447489391938034,0.012764526304910886,1776982.4339776908,0.1796876631216402,630503.9731461187,70.58144721949675,4.023008847138724e-05,6.144106663243744,3.502024460780078e-06,63.05039731461187,3.5937532624328036e-05,0.0,0.0,0.0,0.0004550964069750237,0.0001572068800218589,0.0,0.000691972932553378,-0.32101683488972377,0.0,0.49999999999999956,0.18256282841248128,1.4999999999999996,1.6789831651102753,1.3210168348897238,0.17898316511027576,0.49999999999999956,0.8394915825551377,0.16050841744486233,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9511136398558527,0.3833190718926288,
2015-05-31,2015-06-30,-0.026166343472119935,-0.02691260688953979,1729796.9938377012,0.20216004161078213,718469.6855891177,90.47165055767216,5.0913080978046404e-05,13.475791186516673,7.583525266680186e-06,71.8469685589118,4.0432008322156436e-05,0.0,0.0,0.0,0.0003727279946469344,0.000255061888980015,0.0,0.0007267184981938324,-0.11906319479240679,0.0,0.41913600535713025,0.306074266776018,1.4191360053571302,1.7192088159218537,1.1190631947924068,0.3000728105647235,0.41913600535713025,0.8596044079609269,0.14039559203907315,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.4712666926103285,
2015-06-30,2015-07-31,0.019628770981928487,0.019179564808023394,1763293.949066697,0.3050038110682079,1055189.3509896563,112.86964948771066,6.52502287203655e-05,22.851566033502937,1.3210547893718327e-05,105.51893509896566,6.100076221364159e-05,0.0,0.0,0.0,1.1129561876665464e-05,0.0003074166666666666,0.0,0.0004580077673710575,0.3413835649987106,0.0,0.008616435001289391,0.35699999999999993,1.0086164350012894,1.3586164350012895,0.6586164350012894,0.3499999999999999,0.008616435001289391,0.6793082175006447,0.32069178249935526,0.2,LIVE_IBKR_CHECK_REQUIRED,0.916824106371368,0.623220200998528,
2015-07-31,2015-08-31,-0.036457067877839894,-0.03710466389890787,1699066.4580943938,0.24214692701764343,853952.4223906115,95.12463840925584,5.394712461844768e-05,1.6867960365133234,9.56616471919578e-07,85.39524223906112,4.842938540352867e-05,0.0,0.0,0.0,0.0003026933873064225,0.00021818309858783938,0.0,0.0006242096123881578,-0.07475307568542466,0.0,0.32315888052926445,0.25337392094071665,1.3231588805292644,1.5715646853731042,1.0747530756854247,0.24840580484383984,0.32315888052926445,0.7857823426865521,0.21421765731344788,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.5982923807420932,
2015-08-31,2015-09-30,-0.002464589420342025,-0.0028596282992644517,1694214.6999871484,0.2334875351575866,793421.678738782,89.02390811524498,5.2395777511310945e-05,18.374668266257707,1.0814567128154605e-05,79.34216787387821,4.6697507031517334e-05,0.0,0.0,0.0,0.0,0.0002840807918578586,0.0,0.0003939886435288415,0.33421269630336325,0.0,0.0,0.34089695022943034,1.0,1.334212696303363,0.6657873036966367,0.3342126963033631,0.0,0.6671063481516815,0.33289365184831854,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.7397332857184269,
2015-09-30,2015-10-31,0.01373341521175033,0.013360416215206056,1717001.9984715565,0.1704637960897505,577604.5383017341,54.39403007935217,3.2105747919531556e-05,7.575159491969836,4.471192164739981e-06,57.760453830173425,3.40927592179501e-05,0.0,0.0,0.0,0.0,0.0003074166666666667,0.0,0.00037808636596888836,0.37028843999159644,0.020288439991596463,0.0,0.3570000000000001,0.9797115600084035,1.3297115600084037,0.6297115600084036,0.3500000000000001,0.0,0.6648557800042019,0.33514421999579813,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9808602553614696,0.6358758513175682,IEF
2015-10-31,2015-11-30,0.01342231024111997,0.013002655594038383,1739473.3612070386,0.21262152835413542,730143.1782042545,70.97922643739574,4.133904707191962e-05,6.610764138596411,3.8501784764847056e-06,73.01431782042542,4.252430567082707e-05,0.0,0.0,1.1973291234735511e-05,6.835220255370672e-05,0.0002691703876352495,0.0,0.0004252361214081876,0.2619892822337987,0.0,0.054681762042965376,0.32300446516229936,1.0546817620429654,1.3713528063197296,0.7380107177662013,0.31667104427676407,0.054681762042965376,0.6856764031598648,0.3143235968401352,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6649084553251798,IEF
2015-11-30,2015-12-31,-0.012913975616189224,-0.013256388238514572,1716566.3942797526,0.05825355067030672,202660.99917344595,39.26412190723358,2.2572419206229063e-05,3.1629316239716783,1.818327141139366e-06,20.266099917344594,1.1650710134061344e-05,0.0,0.0,0.0,3.105265580475903e-05,0.00027086716707372914,0.0,0.0003379612793599179,0.28434690071327484,0.0,0.024040765784329565,0.31455541982755636,1.0240407657843296,1.3324284322819335,0.7156530992867252,0.3083876664976043,0.024040765784329565,0.6662142161409668,0.33378578385903324,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.7169181214377374,IEF
2015-12-31,2016-01-31,-0.005426236995525534,-0.005859490418242315,1706537.6004446086,0.32073034032589803,1101109.8476586894,87.2530599400626,5.0829994243638195e-05,14.458281604110834,8.422791948095505e-06,110.11098476586896,6.414606806517961e-05,0.0,0.0,0.0,0.0,0.00030741666666666667,0.0,0.00043081552092357996,0.37018512707156637,0.02018512707156639,0.0,0.357,0.9798148729284336,1.3298148729284336,0.6298148729284336,0.35,0.0,0.6649074364642168,0.3350925635357832,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9798148729284336,0.60153342901536,
2016-01-31,2016-02-29,-0.0010961986679254114,-0.001480466474488394,1704012.9979954548,0.24687204170342092,842592.8433308345,69.39876826454567,4.066641616713574e-05,10.49333778690396,6.148905118861784e-06,84.25928433308347,4.9374408340684195e-05,0.0,0.0,0.0,0.0,0.0002875833333333333,0.0,0.00038377306296001504,0.4015479816526426,0.05154798165264274,0.0,0.35699999999999993,0.9484520183473573,1.2984520183473571,0.5984520183473574,0.3499999999999999,0.0,0.6492260091736786,0.35077399082632144,0.2,LIVE_IBKR_CHECK_REQUIRED,0.948452018347357,0.4816396683580111,
2016-02-29,2016-03-31,-0.004898550551940829,-0.00540428757071715,1694828.8609418073,0.38160779399775563,1300529.2822170951,92.36368989380281,5.420362990332611e-05,10.589306801977031,6.214334523524143e-06,130.05292822170944,7.632155879955108e-05,0.0,0.0,0.0,0.00011811857893642974,0.00024828035755062103,0.0,0.0005031384597134522,0.1748446703799882,0.0,0.10782746345373595,0.2883255765103986,1.107827463453736,1.39049959728746,0.8251553296200118,0.2826721338337241,0.10782746345373595,0.69524979864373,0.30475020135626996,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6168127636832933,
2016-03-31,2016-04-30,0.01279570579440647,0.012317808133477824,1715834.544061277,0.4939435475616558,1674299.5601669531,182.45284409927865,0.00010765266529500246,16.024605204575753,9.454999011328475e-06,167.4299560166953,9.878870951233115e-05,0.0,0.0,8.546930382496759e-05,0.00018698742861711663,8.105254164534129e-05,0.0,0.00048393634408112,-0.09952747924112271,0.0,0.19488341058858283,0.09726304997440954,1.1948834105885828,1.2902393419360432,1.0995274792411227,0.09535593134746033,0.19488341058858283,0.6451196709680216,0.3548803290319784,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.5543493087880503,
2016-04-30,2016-05-31,-0.009674625425920774,-0.010100833780271134,1698590.421160191,0.2076110075497979,712452.2769626196,88.71766633706777,5.170525715555207e-05,9.12312260950008,5.317017681615266e-06,71.24522769626195,4.152220150995957e-05,0.0,0.0,0.0,0.00019345355888597283,0.00013001685544751013,0.0,0.00042201489068060985,-0.04748862657168562,0.0,0.19551540696733283,0.15098731600356016,1.1955154069673328,1.3435421873629798,1.0474886265716856,0.1480267803956472,0.19551540696733283,0.6717710936814899,0.3282289063185101,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.4482965288198433,
2016-05-31,2016-06-30,0.040468233048263136,0.04006559683782007,1768027.1844722158,0.08037486678571962,273047.9576484995,40.83503647603242,2.404054324534622e-05,1.3396228187454209,7.886673573906157e-07,27.304795764849946,1.607497335714392e-05,0.0,0.0,0.0,0.00026349780064784995,0.00011477799460179101,0.0,0.00041917997920952173,-0.15172825383099164,0.0,0.2867611886566279,0.13773359352214923,1.286761188656628,1.4217941234822646,1.1517282538309916,0.1350329348256365,0.2867611886566279,0.7108970617411323,0.2891029382588677,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.42246298592816833,
